"filename", "language", "YAML", "Dart", "Markdown", "C++", "Groovy", "JSON", "XML", "CMake", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\update_user_info.dart", "Dart", 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\upload_profile_image_usecase.dart", "Dart", 0, -16, 0, 0, 0, 0, 0, 0, 0, -4, -20
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\followUseCase\follow_this_user.dart", "Dart", 0, -10, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\followUseCase\remove_this_follower.dart", "Dart", 0, -10, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\add_comment_use_case.dart", "Dart", 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\getComment\get_all_comment.dart", "Dart", 0, -13, 0, 0, 0, 0, 0, 0, 0, -4, -17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\getComment\get_comment.dart", "Dart", 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\put_like.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\remove_like.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\get_replies_of_this_comment.dart", "Dart", 0, -14, 0, 0, 0, 0, 0, 0, 0, -4, -18
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\put_like_on_this_reply.dart", "Dart", 0, -13, 0, 0, 0, 0, 0, 0, 0, -4, -17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\remove_like_on_this_reply.dart", "Dart", 0, -13, 0, 0, 0, 0, 0, 0, 0, -4, -17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\reply_on_this_comment.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\create_post.dart", "Dart", 0, -13, 0, 0, 0, 0, 0, 0, 0, -4, -17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_all_posts.dart", "Dart", 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_post_info.dart", "Dart", 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_specific_users_posts.dart", "Dart", 0, -10, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\likes\put_like_on_this_post.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\likes\remove_the_like_on_this_post.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\storyUseCase\create_story.dart", "Dart", 0, -13, 0, 0, 0, 0, 0, 0, 0, -4, -17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\storyUseCase\get_stories_info.dart", "Dart", 0, -16, 0, 0, 0, 0, 0, 0, 0, -4, -20
"d:\updated_instagram_day_4_6\instagram\lib\injector.dart", "Dart", 0, -192, 0, 0, 0, 0, 0, 0, -44, -31, -267
"d:\updated_instagram_day_4_6\instagram\lib\main.dart", "Dart", 0, -40, 0, 0, 0, 0, 0, 0, 0, -3, -43
"d:\updated_instagram_day_4_6\instagram\lib\material_app.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 7, 63
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\StoryCubit\story_cubit.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\StoryCubit\story_state.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\blocObserver\bloc_observer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_bloc.dart", "Dart", 0, -38, 0, 0, 0, 0, 0, 0, 0, -5, -43
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_event.dart", "Dart", 0, -18, 0, 0, 0, 0, 0, 0, 0, -6, -24
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_state.dart", "Dart", 0, -14, 0, 0, 0, 0, 0, 0, 0, -7, -21
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firebaseAuthCubit\firebase_auth_cubit.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\cubit\message_cubit.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
