"filename", "language", "C++", "CMake", "JSON", "Dart", "YAML", "HTML", "Markdown", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter-clean-architecture-instagram\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\flutter-clean-architecture-instagram\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\flutter-clean-architecture-instagram\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\flutter-clean-architecture-instagram\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\flutter-clean-architecture-instagram\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\flutter-clean-architecture-instagram\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 1, 45
"d:\flutter-clean-architecture-instagram\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\flutter-clean-architecture-instagram\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\flutter-clean-architecture-instagram\lib\app.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"d:\flutter-clean-architecture-instagram\lib\config\routes\app_routes.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 2, 29
"d:\flutter-clean-architecture-instagram\lib\config\routes\customRoutes\hero_dialog_route.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 11, 43
"d:\flutter-clean-architecture-instagram\lib\config\themes\app_theme.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 3, 96
"d:\flutter-clean-architecture-instagram\lib\config\themes\theme_service.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\flutter-clean-architecture-instagram\lib\core\app_prefs.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"d:\flutter-clean-architecture-instagram\lib\core\definition.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\lib\core\functions\blur_hash.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\flutter-clean-architecture-instagram\lib\core\functions\compress_image.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\flutter-clean-architecture-instagram\lib\core\functions\date_of_now.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"d:\flutter-clean-architecture-instagram\lib\core\functions\image_picker.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"d:\flutter-clean-architecture-instagram\lib\core\functions\toast_show.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\flutter-clean-architecture-instagram\lib\core\resources\assets_manager.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\flutter-clean-architecture-instagram\lib\core\resources\color_manager.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53
