"filename", "language", "C++", "CMake", "YAML", "Dart", "JSON", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\registered_user.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\unregistered_user.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\auth_repository.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\definition.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\comment_repository.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\reply_repository.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\post_repository.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\story_repository.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\user_repository.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\log_in_auth_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\sign_out_auth_usecase.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\sign_up_auth_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\definition.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_new_user_usecase.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
